Participant_number,Questionnaire_startTime,Questionnaire_endTime,TrialDuration,question label,rating value,Trial_No,Stim_Cond,Trial_Cond
001,87.43543089999991,457.1048166999999,369.6693858,Task,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Sounds,4,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Distracting,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Detailed,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Knowledge,7,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Future,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Self,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Past,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Evaluative,4,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Perspective,7,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Absorption,4,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Images,5,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Words,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Deliberate,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Intrusive,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,People,4,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Problem,5,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Emotion,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Sad,4,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Angry,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Happy,5,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Disgusted,3,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Scared,6,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Surprised,7,ES1,ESQ,esq_pos
001,87.43543089999991,457.1048166999999,369.6693858,Arousal,4,ES1,ESQ,esq_pos
