Trial_No,Stim_Cond,Trial_Cond,Stim1,Size_x,Size_y,mri_tr_time,trialstart_time,trialend_time,resp_key,response
S1,NEG,movie,SR_1.mp4,1920,1080,"[['t', 3.03693273907993], ['t', 3.375492772087455]]",3.795125482021831,50.0801171970088,,999
S2,NEG,movie,SR_2.mp4,1920,1080,[],70.35809415904805,128.10528875899035,,999
S3,POS,movie,SR_3.mp4,1920,1080,[],137.2665789190214,188.71535220602527,,999
S4,POS,movie,SR_4.mp4,1920,1080,[],210.50131690199487,262.57444942800794,,999
