Trial_No,Stim_Cond,Trial_Cond,Stim1,Size_x,Size_y,mri_tr_time,trialstart_time,trialend_time,resp_key,response
S1,POS,movie,OSS_1.mp4,1920,818,"[['t', 2.039891400000215], ['t', 2.2638317999999344], ['t', 5.311869000000115], ['t', 6.811240600000019], ['t', 8.311302399999931], ['t', 9.811320199999955], ['t', 11.311464599999908], ['t', 12.811426600000232], ['t', 14.31135519999998], ['t', 15.811408200000187], ['t', 17.311376399999972], ['t', 18.811309600000186], ['t', 20.311665000000175]]",2.263905700000123,88.91125310000007,,999
S2,POS,movie,OSS_2.mp4,1920,818,[],104.52157179999995,154.5653843,,999
S3,NEG,movie,OSS_3.mp4,1920,818,"[['t', 156.78268030000027], ['t', 158.3096026000003], ['t', 159.7940604999999], ['t', 161.28727490000028], ['t', 162.78875229999994], ['t', 164.31289060000017], ['t', 165.85458659999995]]",163.10905300000013,195.74849859999995,,999
S4,NEG,movie,OSS_4.mp4,1920,818,"[['t', 197.29049459999987], ['t', 198.79975650000006], ['t', 200.27736249999998], ['t', 201.80044739999994], ['t', 203.29284420000022], ['t', 204.79137119999996], ['t', 206.2918823], ['t', 207.7909695000003], ['t', 209.2924863000003], ['t', 210.79188490000024], ['t', 212.29297080000015], ['t', 213.79135040000028], ['t', 215.2927963000002], ['t', 216.79198840000026], ['t', 218.29144739999992], ['t', 219.79219809999995], ['t', 221.29212020000023], ['t', 222.79208169999993], ['t', 224.29194959999995], ['t', 225.79169600000023], ['t', 227.29186579999987], ['t', 228.791874], ['t', 230.2919363000001], ['t', 231.79206620000014], ['t', 233.29234990000032]]",202.9647976000001,233.97565870000017,,999
S5,NEG,movie,OSS_5.mp4,1920,818,"[['t', 234.77861059999987], ['t', 236.2802442000002], ['t', 237.82217059999994], ['t', 239.28325750000022], ['t', 240.7848328], ['t', 242.30144500000006], ['t', 243.80092779999995], ['t', 245.30101280000008], ['t', 246.8018201], ['t', 248.30176729999994], ['t', 249.8017933000001], ['t', 251.30179230000022], ['t', 252.80176770000025], ['t', 254.3018735999999], ['t', 255.80145260000018], ['t', 257.3013828000003], ['t', 258.8013753], ['t', 260.301328]]",242.0970209000002,272.2773166000002,,999
S6,NEG,movie,OSS_6.mp4,1920,818,"[['t', 279.7761516999999], ['t', 281.2760908999999], ['t', 282.7775566999999], ['t', 284.2790643000003], ['t', 285.7807250000001], ['t', 287.2820925000001], ['t', 288.78363690000015], ['t', 290.2897304000003], ['t', 291.78976439999997], ['t', 293.28960860000007], ['t', 294.7889998999999], ['t', 296.2897997], ['t', 297.7891952], ['t', 299.2898868000002], ['t', 300.78923970000005], ['t', 302.2899741000001], ['t', 303.7898629000001], ['t', 305.28942110000025], ['t', 306.7894546000002], ['t', 308.2897379000001], ['t', 309.7890969], ['t', 311.2900158000002], ['t', 312.78899649999994], ['t', 314.28998360000014], ['t', 315.7899686999999], ['t', 317.2890551999999], ['t', 318.79002290000017], ['t', 320.2900480000003], ['t', 321.78995010000017], ['t', 323.28993579999997], ['t', 324.7891023000002], ['t', 326.28975549999996]]",288.9660167000002,326.9313688000002,,999
S7,POS,movie,OSS_7.mp4,1920,818,"[['t', 327.79001610000023], ['t', 329.2764777000002], ['t', 330.7764188000001], ['t', 332.2779036000002], ['t', 333.80877450000025], ['t', 335.3087638000002], ['t', 336.8088004000001], ['t', 338.30885420000004], ['t', 339.8089319999999], ['t', 341.3089365000001], ['t', 342.80888330000016], ['t', 344.3094077999999], ['t', 345.8088895000001], ['t', 347.3088630000002], ['t', 348.8090285000003], ['t', 350.3087510999999], ['t', 351.80900980000024], ['t', 353.30868439999995], ['t', 354.8089347], ['t', 356.3088963], ['t', 357.8089356999999], ['t', 359.3088327999999], ['t', 360.8090626000003], ['t', 362.3089645], ['t', 363.80891680000013], ['t', 365.3087556999999], ['t', 366.8090119000003], ['t', 368.3087923000003], ['t', 369.80887250000023], ['t', 371.3087476999999], ['t', 372.8088097], ['t', 374.3090437999999], ['t', 375.80876130000024], ['t', 377.30875719999995], ['t', 378.8087776000002], ['t', 380.30894720000015], ['t', 381.80886770000006], ['t', 383.30964760000006]]",333.06860210000013,436.74320480000006,,999
S8,POS,movie,OSS_8.mp4,1920,818,"[['t', 440.28788480000003], ['t', 441.83139759999995], ['t', 443.2759008000003], ['t', 444.7765889000002], ['t', 446.2909992], ['t', 447.7918746], ['t', 449.2912696000003], ['t', 450.7910339], ['t', 452.29086289999987], ['t', 453.7918069000002], ['t', 455.29187200000024], ['t', 456.79172900000003], ['t', 458.2919294000003], ['t', 459.7916945000002], ['t', 461.2915880999999], ['t', 462.7918426000001], ['t', 464.2917872000003], ['t', 465.7917502999999], ['t', 467.2918910000003], ['t', 468.7918890000001], ['t', 470.29178690000026], ['t', 471.79183439999997], ['t', 473.2908408000003], ['t', 474.79099640000004], ['t', 476.2918730000001], ['t', 477.7918512000001], ['t', 479.29190900000003], ['t', 480.79187360000014], ['t', 482.2916743999999]]",445.3321506000002,482.80855640000027,,999
