Participant_number,Questionnaire_startTime,Questionnaire_endTime,TrialDuration,question label,rating value,Trial_No,Stim_Cond,Trial_Cond
001,89.19874280000022,104.50618900000018,15.307446199999958,Task,6,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Distracting,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Images,7,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Future,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Detailed,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Emotion,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Past,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Perspective,7,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Intrusive,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Absorption,7,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Evaluative,6,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Deliberate,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Problem,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Knowledge,3,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,People,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Words,7,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Sounds,4,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Self,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Disgusted,6,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Angry,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Happy,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Scared,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Sad,7,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Surprised,5,ES1,ESQ,esq_pos
001,89.19874280000022,104.50618900000018,15.307446199999958,Arousal,4,ES1,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Task,5,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Absorption,6,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Knowledge,6,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,People,4,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Deliberate,3,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Intrusive,5,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Evaluative,6,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Self,6,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Distracting,6,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Perspective,5,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Past,7,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Problem,4,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Future,7,ES2,ESQ,esq_pos
001,154.8523479999999,163.10829110000032,8.255943100000422,Words,3,ES2,ESQ,esq_pos
