second,mri_tr_time,rms,beats,dynamic_tempo,brightness,vibrance,movie_name
0,99.7,0.228960007507137,-2.82019300390331,0.214673809293248,-0.0836193659253811,0.806280112988548,OneSmallStep
1,100.7,0.291315960713822,-2.82019300390331,0.214673809293248,0.13044767551828,1.09782482258931,OneSmallStep
2,101.7,0.421645313931145,0.455556346755834,0.214673809293248,0.496861904763323,1.05406636047497,OneSmallStep
3,102.7,0.772330758041268,0.455556346755834,0.214673809293248,0.512618880927772,0.720307414625325,OneSmallStep
4,103.7,0.614128213942963,0.455556346755834,-0.440111129365756,0.493645553687193,0.723017153652784,OneSmallStep
5,104.7,0.327515637712899,-1.18231832857374,-0.5897762582021,0.463298801816358,0.723915050577986,OneSmallStep
6,105.7,0.149310540947987,0.455556346755834,-0.5897762582021,0.4354107099713,0.704669665816049,OneSmallStep
7,106.7,-0.179271824988988,0.417904055368948,-0.5897762582021,0.660466155782746,0.215397230865915,OneSmallStep
8,107.7,-0.417982357348278,0.455556346755834,-0.5897762582021,0.72765482642606,0.397348153270448,OneSmallStep
9,108.7,-0.208118048507302,0.455556346755834,-0.5897762582021,0.397443258129168,-0.0218411983255262,OneSmallStep
10,109.7,-0.128895880797946,0.455556346755834,-0.5897762582021,-0.343625705398364,-0.262118002459755,OneSmallStep
11,110.7,0.804152788082467,0.455556346755834,-0.5897762582021,-0.255316801923912,-0.304002010932572,OneSmallStep
12,111.7,-0.390742317060534,-1.18231832857374,-0.5897762582021,0.106629248858302,-0.422751227753755,OneSmallStep
13,112.7,-0.0122180623701206,0.455556346755834,-0.5897762582021,0.566156286213992,-0.597345282664384,OneSmallStep
14,113.7,-0.164005452350522,0.455556346755834,-0.5897762582021,1.70727119765336,-1.11156920102514,OneSmallStep
15,114.7,0.281536478983717,0.417904055368948,-0.5897762582021,0.0618811290352027,-0.565576363134979,OneSmallStep
16,115.7,0.369782909354177,0.455556346755834,-0.5897762582021,-0.319750263973914,-0.325140925203945,OneSmallStep
17,116.7,-0.295718187398163,0.455556346755834,-0.5897762582021,-0.343725915732481,-0.258644202880353,OneSmallStep
18,117.7,-0.238297808712967,0.455556346755834,-0.5897762582021,-0.401822801344067,-0.45989740279872,OneSmallStep
